sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-BH-A18K-01	TCGA-BH-A18K-01	Primary Tumor	0.8365	0.1778	-0.01114	-0.3049	-1.321	0.2855	0.4602	-0.2409	2.366	-0.5083	0.08405	9.175	-0.5282	0.01656
TCGA-AO-A1KT-01	TCGA-AO-A1KT-01	Primary Tumor	0.8264	0.8756	0.07266	0.2061	-1.331	1.042	0.1925	0.3544	3.25	-0.7942	-0.5623	8.803	-0.311	-0.1567
TCGA-BH-A28Q-01	TCGA-BH-A28Q-01	Primary Tumor	0.8188	0.1613	-0.2768	-0.6548	-0.6207	-1.436	0.9193	-0.2351	-3.118	0.06124	-0.287	9.475	0.6193	1.089
TCGA-BH-A2L8-01	TCGA-BH-A2L8-01	Primary Tumor	0.8165	0.2799	-0.01484	0.07975	-0.04276	2.889	0.2975	0.09128	0.278	-0.1236	0.15	10.4	-0.2556	-0.2837
TCGA-BH-A18N-01	TCGA-BH-A18N-01	Primary Tumor	0.8124	0.8708	-0.1774	-0.4349	-0.5702	-0.4809	0.9725	0.1671	2.101	-0.1638	0.3155	10.02	0.4067	0.6526
TCGA-E9-A1NH-01	TCGA-E9-A1NH-01	Primary Tumor	0.81	-1.125	-0.2777	-0.5504	-1.441	1.207	0.8188	-0.03752	1.308	0.09394	0.2023	9.83	-0.2544	0.3362
TCGA-E9-A22A-01	TCGA-E9-A22A-01	Primary Tumor	0.805	-0.4587	-0.09874	-0.4391	-0.8541	4.229	0.1515	-0.2345	2.316	-1.348	0.5862	9.937	-0.1534	0.9359
TCGA-E9-A247-01	TCGA-E9-A247-01	Primary Tumor	0.8045	1.153	0.6019	-0.6208	-1.579	-0.7671	0.0389	0.3468	1.292	-0.8607	-0.7727	9.841	0.2856	-0.006938
TCGA-A2-A1FW-01	TCGA-A2-A1FW-01	Primary Tumor	0.7824	0.2317	0.2315	0.1909	1.361	-3.254	1.542	-0.548	2.73	-0.2631	0.7681	8.91	0.34	1.579
TCGA-E9-A1RC-01	TCGA-E9-A1RC-01	Primary Tumor	0.776	1.285	-0.1725	-0.5538	-1.765	0.1622	1.143	0.09368	2.922	-0.3462	-2.183	8.927	0.1628	0.8035
TCGA-EW-A2FV-01	TCGA-EW-A2FV-01	Primary Tumor	0.7701	-0.1409	0.2127	0.2313	-4.052	-1.816	0.8927	-0.657	3.055	-0.4509	0.6026	9.797	-0.08978	-0.02694
TCGA-BH-A18R-01	TCGA-BH-A18R-01	Primary Tumor	0.7542	0.4458	0.4796	-0.1112	-0.8397	0.05609	0.3901	-0.9956	3.406	-0.3494	0.6037	9.041	-0.03348	3.576
TCGA-EW-A1P6-01	TCGA-EW-A1P6-01	Primary Tumor	0.7538	0.7844	-0.1143	-0.6364	-3.442	-0.2756	0.2353	-0.02242	1.077	-0.5652	0.06495	9.994	-0.03408	-0.03794
TCGA-EW-A1J6-01	TCGA-EW-A1J6-01	Primary Tumor	0.7534	0.6667	0.6642	0.235	0.695	-2.713	-0.6281	-1.139	2.126	-1.009	1.272	8.651	0.04012	0.2545
TCGA-BH-A1F5-01	TCGA-BH-A1F5-01	Primary Tumor	0.7486	-0.03479	0.4693	-1.352	-2.773	0.2468	0.9012	-1.285	2.424	-1.544	0.8038	8.187	0.774	1.025
TCGA-E9-A22H-01	TCGA-E9-A22H-01	Primary Tumor	0.747	1.691	-0.02924	-1.312	-1.497	-1.545	1.37	-0.4957	2.571	-0.6973	0.07945	8.913	0.3275	0.7403
TCGA-E2-A14V-01	TCGA-E2-A14V-01	Primary Tumor	0.7469	1.315	0.2115	-0.3284	-0.65	0.5388	0.5	-0.6153	3.053	-0.3829	0.2282	9.83	-0.09018	0.6277
TCGA-D8-A27I-01	TCGA-D8-A27I-01	Primary Tumor	0.7411	0.4846	-0.3633	-0.5158	0.9139	-1.649	0.573	-0.1059	-0.4812	0.07484	-0.08985	9.752	0.175	0.3527
TCGA-D8-A1XB-01	TCGA-D8-A1XB-01	Primary Tumor	0.7387	1.067	-0.3987	-0.2024	-1.269	2.642	0.6105	-0.08282	2.424	0.2861	0.148	9.905	0.409	0.8417
TCGA-BH-A0EA-01	TCGA-BH-A0EA-01	Primary Tumor	0.7353	-1.043	-0.6937	-0.845	-2.235	2.094	0.5441	0.03628	0.8979	0.3218	-0.04375	10.09	0.3062	0.5542
TCGA-BH-A0DO-01	TCGA-BH-A0DO-01	Primary Tumor	0.7349	-0.4698	-0.1643	-0.06985	-1.185	7.532	0.7881	-0.2216	1.533	0.4594	0.09065	10.14	0.2371	0.6272
TCGA-S3-AA11-01	TCGA-S3-AA11-01	Primary Tumor	0.7344	-0.03109	0.1586	-0.05015	-0.6889	5.419	0.001899	-0.3868	2.871	0.5985	-0.08395	10.7	-0.09248	0.3038
TCGA-D8-A27K-01	TCGA-D8-A27K-01	Primary Tumor	0.7309	0.5774	-0.4556	-0.7633	-2.372	0.08519	1.076	-0.11	0.6342	0.1767	0.6193	9.599	0.6539	1.103
TCGA-LL-A7T0-01	TCGA-LL-A7T0-01	Primary Tumor	0.7299	1.363	0.9114	-0.1297	-1.157	-1.001	-1.35	-0.9259	2.656	-0.1231	-2.254	10.86	0.01172	0.2342
TCGA-AC-A7VB-01	TCGA-AC-A7VB-01	Primary Tumor	0.7228	1.8	0.389	-1.24	-1.879	-2.883	-0.282	-0.2634	1.443	-0.08446	-0.8813	9.706	-0.05158	-0.2411
TCGA-A2-A0T7-01	TCGA-A2-A0T7-01	Primary Tumor	0.7202	0.6832	-0.1623	-0.2927	-2.236	0.9875	0.8081	0.2563	2.883	-0.07236	0.396	9.763	0.06712	0.7982
TCGA-E9-A5FK-01	TCGA-E9-A5FK-01	Primary Tumor	0.7079	-2.087	-0.2301	0.7013	-3.627	0.2038	-0.5861	-0.05082	-0.9327	-0.09986	-1.019	11.32	-0.689	-1.527
TCGA-C8-A12X-01	TCGA-C8-A12X-01	Primary Tumor	0.7033	0.8746	-0.4745	0.3937	-1.675	5.014	0.7996	0.09488	3.343	-0.5726	-0.05235	10.48	0.4648	-0.2003
TCGA-A2-A0YD-01	TCGA-A2-A0YD-01	Primary Tumor	0.7011	-0.2108	-0.2868	-1.06	-1.899	3.543	0.9937	-0.3448	-2.256	0.03614	0.6397	10.24	0.05752	-0.2951
TCGA-E2-A156-01	TCGA-E2-A156-01	Primary Tumor	0.6966	0.5095	-0.4742	-0.9175	-0.5543	-1.597	1.105	-0.1985	1.895	-0.05356	-0.5222	9.869	0.391	0.8662
TCGA-AR-A2LK-01	TCGA-AR-A2LK-01	Primary Tumor	0.6948	2.25	0.2092	-0.7891	-1.253	1.812	1.199	0.08528	1.537	-0.5661	0.2251	9.743	0.537	1.512
TCGA-EW-A1IY-01	TCGA-EW-A1IY-01	Primary Tumor	0.6943	1.052	0.2689	-0.5928	0.8872	-0.3486	1.123	-1.303	1.813	-1.318	1.121	8.06	0.4579	1.113
TCGA-WT-AB41-01	TCGA-WT-AB41-01	Primary Tumor	0.6833	-0.7342	-0.8013	0.7024	-2.556	0.4278	-0.8074	0.8072	2.424	-0.4937	-1.572	10.14	0.06432	-1.987
TCGA-A2-A0YF-01	TCGA-A2-A0YF-01	Primary Tumor	0.6793	1.325	-0.3185	-0.8599	-1.31	-2.639	0.85	-0.6168	3.091	-0.8803	0.8478	8.949	0.4695	0.6902
TCGA-AQ-A54O-01	TCGA-AQ-A54O-01	Primary Tumor	0.6744	-0.8366	0.05586	0.2981	-1.858	-3.254	-0.8381	0.1045	2.459	-0.3566	-0.5921	10.23	-1.054	-1.189
TCGA-D8-A140-01	TCGA-D8-A140-01	Primary Tumor	0.6726	0.1092	-0.3625	-0.4503	-2.817	-0.843	1.191	0.01628	2.835	-0.1255	-0.03375	9.863	0.4432	0.6183
TCGA-BH-A0C7-01	TCGA-BH-A0C7-01	Primary Tumor	0.6712	2.588	0.3541	-0.9788	-2.746	2.004	0.5365	-0.7748	3.016	-0.7312	-1.205	10.03	-0.2667	1.312
TCGA-OL-A6VR-01	TCGA-OL-A6VR-01	Primary Tumor	0.6694	-0.4673	0.05296	-0.03745	-1.25	5.338	-0.3131	0.1268	1.718	0.131	-0.9945	10.64	0.2339	-0.4992
TCGA-E2-A1L8-01	TCGA-E2-A1L8-01	Primary Tumor	0.6683	0.03341	-0.05934	-0.619	0.3094	1.524	0.7694	-0.6326	-0.7192	-0.8577	0.3134	8.799	0.9033	0.7581
TCGA-OL-A66H-01	TCGA-OL-A66H-01	Primary Tumor	0.6672	0.02411	-0.03554	0.7153	-0.9484	-0.6676	-0.2419	0.1967	1.708	-0.05176	0.3985	10.48	-0.05798	-0.9285
TCGA-A7-A13F-01	TCGA-A7-A13F-01	Primary Tumor	0.6639	2.401	0.002559	-0.2393	1.355	-0.3611	0.7063	0.06068	3.423	-0.1524	-0.1985	9.676	-0.3917	0.7252
TCGA-E9-A22B-01	TCGA-E9-A22B-01	Primary Tumor	0.6635	0.1627	-0.07854	0.8594	1.913	0.6275	0.5671	-0.4436	3.345	-0.7401	0.3778	8.859	-0.1357	0.3066
TCGA-A2-A0CR-01	TCGA-A2-A0CR-01	Primary Tumor	0.6612	-1.227	-0.1692	0.5943	-2.351	-2.029	-0.6422	0.2478	-0.3054	0.02154	-0.8968	11.05	-0.1654	-1.825
TCGA-BH-A0H9-01	TCGA-BH-A0H9-01	Primary Tumor	0.6608	0.7529	-0.1796	-0.005755	-0.3153	-0.7448	1.258	-0.02972	3.496	-0.3159	0.8695	10.39	-0.2219	1.034
TCGA-BH-A18J-01	TCGA-BH-A18J-01	Primary Tumor	0.6548	0.04851	-0.3104	-0.2818	-1.604	5.986	-0.0287	-0.5789	2.047	0.04114	0.1235	9.427	0.009318	-0.2148
TCGA-A1-A0SN-01	TCGA-A1-A0SN-01	Primary Tumor	0.6541	0.7154	-0.4233	-0.6403	-2.06	3.112	0.7743	-0.1103	2.118	0.06914	0.2094	10.28	-0.3241	0.2986
TCGA-AR-A1AV-01	TCGA-AR-A1AV-01	Primary Tumor	0.6478	1.41	-0.5198	-1.13	-0.6397	-1.093	0.9952	-0.3411	3.15	0.1897	0.5503	9.822	-0.3195	0.9792
TCGA-E2-A15L-01	TCGA-E2-A15L-01	Primary Tumor	0.645	1.34	-0.1901	-0.08215	0.354	-2.067	1.151	-0.1647	-2.557	-0.4174	0.436	9.541	0.105	0.7385
TCGA-BH-A0W7-01	TCGA-BH-A0W7-01	Primary Tumor	0.6443	-0.4197	0.1846	-0.01265	-1.973	-0.789	0.324	-0.08782	1.686	-0.1478	-0.3102	10.16	-0.4291	-0.5905
TCGA-B6-A0RP-01	TCGA-B6-A0RP-01	Primary Tumor	0.6424	-0.3149	-0.5203	-1.252	-1.48	1.209	0.922	0.2459	1.536	0.1578	-0.03305	10	0.271	0.6752
TCGA-BH-A6R9-01	TCGA-BH-A6R9-01	Primary Tumor	0.6417	-0.8222	0.01776	0.1684	-1.637	2.905	0.1799	0.1189	-2.057	0.1802	0.6312	10.17	0.4674	0.1027
TCGA-E2-A15G-01	TCGA-E2-A15G-01	Primary Tumor	0.6409	0.09081	-0.3759	-1.011	-0.825	-1.463	1.134	0.1244	2.518	0.08544	0.2959	9.634	0.3965	0.4143
TCGA-GM-A2D9-01	TCGA-GM-A2D9-01	Primary Tumor	0.6404	-1.199	-0.3034	0.817	-1.482	-0.4914	0.1196	-0.2839	1.357	-0.1515	0.09325	9.732	-0.3177	-0.2396
TCGA-D8-A1JH-01	TCGA-D8-A1JH-01	Primary Tumor	0.6379	0.2928	-0.4361	-0.5852	-2.556	1.095	0.9073	-0.07002	2.838	-0.1741	0.7178	9.344	0.3598	0.7647
TCGA-BH-A1EX-01	TCGA-BH-A1EX-01	Primary Tumor	0.6375	0.8147	-0.3657	-1.421	-1.747	0.7562	0.8601	-0.1891	3.389	-0.6294	1.051	8.967	0.1225	1.064
TCGA-D8-A1Y1-01	TCGA-D8-A1Y1-01	Primary Tumor	0.6367	1.113	-0.3384	-0.1001	-2.418	0.418	0.02	-0.4889	-2.555	-0.7589	-0.08905	9.587	0.2903	-0.1332
TCGA-BH-A0DK-01	TCGA-BH-A0DK-01	Primary Tumor	0.6365	-0.3973	-0.2681	0.05855	-0.09946	-0.1408	-0.0534	-0.724	2.531	0.08464	-0.2124	10.59	-0.1728	-0.2238
TCGA-BH-A0H5-01	TCGA-BH-A0H5-01	Primary Tumor	0.6356	0.02811	-0.2442	-0.227	-0.9893	2.743	0.4271	-0.02452	0.9091	-0.01476	0.4553	10.05	0.04832	0.1967
TCGA-B6-A0RQ-01	TCGA-B6-A0RQ-01	Primary Tumor	0.6314	-0.8063	-0.1592	0.03705	-2.1	-0.8383	0.3598	-0.2085	2.266	0.2584	0.08035	10.11	0.4681	0.4259
TCGA-OL-A5RX-01	TCGA-OL-A5RX-01	Primary Tumor	0.6276	-0.8353	-0.2011	0.01865	-0.9128	-0.1049	0.2602	0.1837	1.326	0.6804	-0.2903	10.66	0.1762	0.1458
TCGA-E2-A1B5-01	TCGA-E2-A1B5-01	Primary Tumor	0.626	-1.491	-0.4414	0.4636	-0.1179	-1.606	-0.0959	-0.3363	-1.259	-0.578	0.07775	9.719	-0.1114	-0.5556
TCGA-EW-A1IZ-01	TCGA-EW-A1IZ-01	Primary Tumor	0.6248	-0.01729	0.4259	0.874	-0.8229	-1.42	-0.3028	-0.6429	-0.9008	-0.03606	0.192	10.67	-0.4288	-0.4312
TCGA-AC-A2FG-01	TCGA-AC-A2FG-01	Primary Tumor	0.622	-0.3168	-0.06194	0.01395	-1.778	-3.254	0.5732	-0.1138	0.4712	0.05124	0.03755	9.965	0.6112	0.3514
TCGA-5L-AAT1-01	TCGA-5L-AAT1-01	Primary Tumor	0.6193	-1.142	-0.2295	0.3995	-1.895	5.142	-0.1771	0.3946	-0.5716	-0.2543	-0.3856	10.63	-0.2936	-1.413
TCGA-AN-A0XS-01	TCGA-AN-A0XS-01	Primary Tumor	0.6191	-0.02659	-0.3851	-0.7619	-2.032	0.9929	0.6553	0.1102	1.639	-0.01616	0.2782	10.37	0.2639	0.5497
TCGA-EW-A1PG-01	TCGA-EW-A1PG-01	Primary Tumor	0.6184	-1.009	0.4486	0.2198	-0.467	2.457	0.8671	-0.2094	1.089	-0.08546	0.4404	9.122	0.5423	1.138
TCGA-OK-A5Q2-01	TCGA-OK-A5Q2-01	Primary Tumor	0.6164	0.6735	0.02496	-0.1806	-2.093	3.17	-0.3425	-0.4959	1.799	0.47	-0.1433	10.37	-0.1445	-0.4676
TCGA-D8-A1JS-01	TCGA-D8-A1JS-01	Primary Tumor	0.6152	-1.309	0.1687	0.6364	-1.484	1.493	-0.221	-0.08002	0.9493	-0.6564	-0.3244	9.895	-0.06128	-0.9594
TCGA-V7-A7HQ-01	TCGA-V7-A7HQ-01	Primary Tumor	0.6151	-0.6612	-0.7738	0.1761	-5.082	-3.254	-1.137	0.1841	1.758	-0.6189	-2.553	11.5	-0.375	-1.804
TCGA-BH-A0W5-01	TCGA-BH-A0W5-01	Primary Tumor	0.6079	0.1792	-0.02064	-0.516	-0.6961	0.3443	0.6188	-0.2034	1.538	-0.07986	0.3566	10.07	0.2087	0.2662
TCGA-AR-A24R-01	TCGA-AR-A24R-01	Primary Tumor	0.6077	1.018	0.1982	-0.1838	-2.81	-0.9824	0.9941	-0.03322	3.404	-0.8415	0.7537	9.283	-0.05498	0.8981
TCGA-D8-A3Z6-01	TCGA-D8-A3Z6-01	Primary Tumor	0.6031	-0.4271	-0.3173	-0.2758	-1.001	-2.845	0.2705	-0.09432	-2.041	0.6607	-0.1294	10.44	-0.5445	-0.2605
TCGA-C8-A1HL-01	TCGA-C8-A1HL-01	Primary Tumor	0.6026	0.07381	0.4097	0.06535	-1.413	-1.413	0.3347	-0.6212	2.826	-0.8355	0.6235	8.798	0.2612	0.2289
TCGA-BH-A18I-01	TCGA-BH-A18I-01	Primary Tumor	0.6022	0.3517	-0.1136	-0.7502	-1.66	1.297	0.7886	-0.06862	1.204	-0.2066	0.5849	9.324	0.4016	0.4638
TCGA-WT-AB44-01	TCGA-WT-AB44-01	Primary Tumor	0.5988	-2.9	0.1116	0.7968	-2.184	2.977	-0.3953	-0.05472	-2.114	-0.6898	-0.9244	9.581	-0.5168	-1.071
TCGA-BH-A18F-01	TCGA-BH-A18F-01	Primary Tumor	0.5986	0.8321	-0.3361	-0.6213	-2.134	3.427	0.8757	-0.2785	-1.674	-0.09396	0.6289	9.914	-0.09728	-0.8487
TCGA-A2-A3XW-01	TCGA-A2-A3XW-01	Primary Tumor	0.5978	-1.157	-0.02474	0.6922	-0.4183	-3.254	-0.986	0.9829	2.119	0.5888	-1.868	11.85	-0.597	-1.306
TCGA-C8-A274-01	TCGA-C8-A274-01	Primary Tumor	0.5977	0.773	-0.1174	-0.5542	-2.519	-1.143	0.8076	-0.3177	-1.917	0.03144	0.07815	9.257	-0.3595	0.969
TCGA-C8-A137-01	TCGA-C8-A137-01	Primary Tumor	0.5961	0.007015	-0.1884	0.3963	1.707	-1.879	-0.2298	-0.766	2.135	-0.9846	0.3373	8.889	-0.595	1.624
TCGA-C8-A8HQ-01	TCGA-C8-A8HQ-01	Primary Tumor	0.5946	0.7051	0.4663	0.01675	0.07464	1.09	-0.2295	-0.1932	2.576	0.05134	0.3438	10.79	0.2949	0.1302
TCGA-A2-A1G6-01	TCGA-A2-A1G6-01	Primary Tumor	0.5942	-0.5241	-0.1332	-0.08335	-1.308	1.904	0.7322	-0.3954	2.614	-0.002459	0.6085	9.171	1.053	0.4112
TCGA-BH-A0DQ-01	TCGA-BH-A0DQ-01	Primary Tumor	0.5905	0.6218	-0.2885	-0.569	-0.7778	0.5192	0.4454	-0.06372	2.765	-0.4227	-0.1322	10.32	-0.7425	-0.07384
TCGA-GM-A5PV-01	TCGA-GM-A5PV-01	Primary Tumor	0.5876	-0.7852	-0.1482	0.2061	-1.528	-3.254	0.0927	-0.04732	-0.6898	-0.2052	-0.09055	10.67	0.2336	-0.3682
TCGA-A7-A0CH-01	TCGA-A7-A0CH-01	Primary Tumor	0.5809	0.2154	-0.4271	-1.017	-1.567	0.5624	1.063	-0.354	1.886	-0.1323	0.1716	9.77	0.568	0.885
TCGA-D8-A27P-01	TCGA-D8-A27P-01	Primary Tumor	0.5775	-0.006485	-0.3079	-0.6555	-0.7708	-1.889	1.227	-0.07972	2.071	0.3368	0.3114	9.99	0.4961	1.022
TCGA-A7-A0DB-01	TCGA-A7-A0DB-01	Primary Tumor	0.5661	-0.1732	-0.2791	-1.358	-2.831	-0.2039	1.061	0.03768	1.942	-0.03216	0.2404	10.16	0.09592	0.1358
TCGA-AC-A6IV-01	TCGA-AC-A6IV-01	Primary Tumor	0.5632	0.05221	0.1996	-0.3083	-2.407	0.842	0.296	0.2866	-2.105	0.2346	-0.002545	10.61	0.4554	0.131
TCGA-LL-A5YL-01	TCGA-LL-A5YL-01	Primary Tumor	0.5613	0.1537	0.005759	1.086	-1.632	0.5182	-1.376	-0.5639	-1.22	-0.6869	-0.6104	10.54	-0.6043	-1.771
TCGA-EW-A2FW-01	TCGA-EW-A2FW-01	Primary Tumor	0.5605	2.199	0.1999	1.037	-1.188	-2.172	0.7619	0.3257	2.988	-0.2971	0.867	10.04	0.1232	0.2721
TCGA-AO-A125-01	TCGA-AO-A125-01	Primary Tumor	0.5598	-0.2708	-0.05144	-0.2701	-1.025	2.449	0.0876	-0.4025	1.11	-0.3102	-0.1365	9.763	0.1221	0.1064
TCGA-E2-A15C-01	TCGA-E2-A15C-01	Primary Tumor	0.5596	0.01591	-0.3916	-0.8846	-2.25	1.295	0.8736	-0.01772	1.668	0.1348	0.4168	10.06	0.901	0.7329
TCGA-E9-A1N4-01	TCGA-E9-A1N4-01	Primary Tumor	0.5522	1.205	-0.1859	-0.1958	-0.6428	0.1554	1.343	-0.3662	1.07	-0.5302	0.6688	9.384	-0.01228	0.6708
TCGA-D8-A1XO-01	TCGA-D8-A1XO-01	Primary Tumor	0.5508	0.7736	-0.7226	-1.646	-0.9083	0.5062	0.8387	-0.02072	0.8249	-0.3696	0.6055	9.777	0.4189	1.191
TCGA-OL-A5RV-01	TCGA-OL-A5RV-01	Primary Tumor	0.55	-0.2127	0.2507	-0.3458	-1.146	-1.628	0.3758	-0.06442	1.901	0.7189	-0.1187	10.58	-0.07088	0.3091
TCGA-A7-A5ZW-01	TCGA-A7-A5ZW-01	Primary Tumor	0.5499	-0.8088	0.3509	0.1239	-0.8794	1.633	0.3802	-0.1278	1.247	-0.3873	0.3135	10.21	0.4525	0.03736
TCGA-A2-A25B-01	TCGA-A2-A25B-01	Primary Tumor	0.5433	-0.02129	0.4949	-0.7308	-1.432	-0.7117	0.9619	-1.327	3.211	-0.8667	0.6484	9.045	-0.08358	0.553
TCGA-BH-A0AY-01	TCGA-BH-A0AY-01	Primary Tumor	0.5412	-0.3996	-0.1849	-0.3672	-3.228	4.171	0.4083	-0.4525	0.9398	-0.1863	-0.2399	9.949	-0.5695	-0.873
TCGA-AC-A2FK-01	TCGA-AC-A2FK-01	Primary Tumor	0.5328	-0.9194	-0.4363	-0.3255	-1.982	-1.214	0.9785	-0.311	2.361	0.06514	0.3916	9.719	0.7368	1.15
TCGA-E9-A1NG-01	TCGA-E9-A1NG-01	Primary Tumor	0.5307	0.2767	-0.5404	-0.5722	-1.894	2.878	0.7478	-0.4486	1.317	0.03124	0.727	9.121	0.2824	0.4921
TCGA-E2-A15K-01	TCGA-E2-A15K-01	Primary Tumor	0.5274	1.441	-0.07974	-0.7475	-1.889	0.774	0.7108	-0.103	2.008	0.3925	0.6106	10.02	0.1835	0.2436
TCGA-BH-A1FM-01	TCGA-BH-A1FM-01	Primary Tumor	0.5248	0.4628	0.7757	-0.5525	1.721	0.02429	0.5295	-2.068	2.428	-2.146	2.046	6.715	0.2885	0.9448
TCGA-AN-A0XV-01	TCGA-AN-A0XV-01	Primary Tumor	0.5242	0.226	0.07766	0.397	-1.17	-0.6143	0.7193	-0.6474	2.504	-0.5552	-0.02235	9.427	0.1571	0.2427
TCGA-B6-A0WT-01	TCGA-B6-A0WT-01	Primary Tumor	0.5235	1.371	-0.05784	-0.7379	-2.173	1.908	1.305	-0.348	2.96	-0.113	0.7888	9.822	0.5001	0.5203
TCGA-A2-A1FZ-01	TCGA-A2-A1FZ-01	Primary Tumor	0.5215	0.3525	-0.1897	-0.9587	-1.198	3.901	0.4904	-0.7845	2.793	0.03364	0.676	9.954	0.1418	0.8715
TCGA-AC-A3YI-01	TCGA-AC-A3YI-01	Primary Tumor	0.5215	-1.316	0.5723	0.6312	-1.849	3.687	0.2366	0.08428	0.3463	0.5932	-0.6376	9.731	0.05032	0.09576
TCGA-BH-A0BJ-01	TCGA-BH-A0BJ-01	Primary Tumor	0.5196	0.3613	-0.556	-1.071	-2.546	0.2113	0.5512	-0.6146	2.859	0.3526	-0.299	10.07	0.3165	0.6542
TCGA-C8-A273-01	TCGA-C8-A273-01	Primary Tumor	0.5177	-0.08679	-0.5547	0.4247	-2.543	-1.789	-0.5333	-0.7583	3.352	-0.1645	0.4945	10.33	-0.8201	-0.4688
TCGA-AC-A2B8-01	TCGA-AC-A2B8-01	Primary Tumor	0.5156	-0.5982	-0.1684	-0.315	-0.7582	3.661	0.9957	-0.1366	1.084	0.3453	0.3683	9.043	0.3612	0.8867
TCGA-E9-A2JT-01	TCGA-E9-A2JT-01	Primary Tumor	0.5152	0.02701	0.04366	-0.3204	-2.009	1.175	0.8421	0.02158	0.3768	0.3326	0.493	10.09	0.2086	0.03626
TCGA-A2-A0YL-01	TCGA-A2-A0YL-01	Primary Tumor	0.5136	0.1132	-0.2267	-0.142	-1.924	0.8622	0.7974	-0.4317	0.3649	0.2344	0.2457	9.848	0.2851	0.1898
TCGA-E2-A10B-01	TCGA-E2-A10B-01	Primary Tumor	0.5059	0.5912	-0.3895	-0.3211	3.787	0.8036	1.085	-0.2696	3.726	0.3206	0.2853	10.26	0.5331	0.5602
TCGA-E9-A1R5-01	TCGA-E9-A1R5-01	Primary Tumor	0.5011	0.6363	-0.2602	-0.09685	0.3922	3.338	0.5017	-0.2437	0.9566	-0.5025	0.312	9.311	0.3157	2.13
TCGA-AN-A0XR-01	TCGA-AN-A0XR-01	Primary Tumor	0.4987	-0.1439	0.3499	-0.2106	-0.6925	-0.8935	0.0629	-0.001518	1.394	0.2858	-0.4034	10.63	-0.1849	0.1814
TCGA-LD-A66U-01	TCGA-LD-A66U-01	Primary Tumor	0.4965	-0.9199	-0.00004056	0.1204	-2.985	-2.795	-0.7837	0.3767	0.818	0.147	-1.547	11.23	-0.2581	-1.22
TCGA-OL-A66K-01	TCGA-OL-A66K-01	Primary Tumor	0.4957	0.2209	0.2291	-0.4887	-2.159	-1.843	-0.4265	-0.1347	-2.409	0.3855	-0.9616	10.58	0.2652	0.07276
TCGA-B6-A0RV-01	TCGA-B6-A0RV-01	Primary Tumor	0.4957	-0.4495	-0.1642	-0.2767	-1.074	5.031	0.6338	0.1894	-0.7695	-0.374	0.5004	10.2	0.1742	-0.2124
TCGA-AO-A12H-01	TCGA-AO-A12H-01	Primary Tumor	0.4943	-0.9871	-0.4543	0.3602	0.7931	-0.3314	0.3067	0.07628	2.865	0.002741	0.6212	10.41	0.2807	0.1024
TCGA-B6-A0RO-01	TCGA-B6-A0RO-01	Primary Tumor	0.4926	-0.8726	0.002259	-1.6	-4.727	-2.577	0.8025	-0.5769	3.609	-1.193	1.206	9.569	1.091	0.4167
TCGA-C8-A1HN-01	TCGA-C8-A1HN-01	Primary Tumor	0.4894	1.753	0.2165	-0.3924	0.2032	-1.195	0.7174	-0.05222	2.42	-0.5611	0.06875	9.156	0.06522	0.9275
TCGA-E2-A15P-01	TCGA-E2-A15P-01	Primary Tumor	0.4893	0.8965	-0.2536	-1.09	-1.841	-0.9014	0.8254	0.2033	1.559	0.4017	-0.1799	9.262	0.5518	0.7687
TCGA-AR-A24W-01	TCGA-AR-A24W-01	Primary Tumor	0.4866	0.03041	-0.1977	-0.2469	-0.1006	0.3769	1.023	-0.6673	2.442	0.07194	0.6041	9.097	0.5013	0.8176
TCGA-A7-A3RF-01	TCGA-A7-A3RF-01	Primary Tumor	0.4745	-0.6301	-0.8371	0.2698	-0.6541	6.843	-0.1622	0.4885	1.899	0.6319	-0.2682	10.47	-0.2602	-0.03824
TCGA-A2-A25A-01	TCGA-A2-A25A-01	Primary Tumor	0.4744	-0.5422	-0.06934	-0.2003	-2.095	-1.547	0.8915	-0.2089	0.06625	0.2408	0.7035	9.797	0.5008	0.2128
TCGA-GM-A2DO-01	TCGA-GM-A2DO-01	Primary Tumor	0.473	0.4459	0.5516	0.5801	0.04264	-0.95	-0.0974	-0.07292	0.7682	0.1204	-0.04355	10.09	-0.1084	-0.5315
TCGA-AC-A3QP-01	TCGA-AC-A3QP-01	Primary Tumor	0.4704	-0.6943	-0.3955	0.1697	-2.247	0.03749	-0.7009	0.3566	-2.253	0.04384	-0.07535	10.7	-0.2329	-0.8613
TCGA-D8-A1J8-01	TCGA-D8-A1J8-01	Primary Tumor	0.4679	1.16	0.2625	-0.7283	-1.072	1.681	1.36	-1.658	2.579	-1.178	0.9316	8.104	0.2782	0.3101
TCGA-A1-A0SF-01	TCGA-A1-A0SF-01	Primary Tumor	0.4667	-0.04879	-0.1725	-0.1523	-0.4696	2.717	-0.1579	-0.5937	2.634	0.07734	0.006055	10.78	-0.2018	-0.03094
TCGA-BH-A1F8-01	TCGA-BH-A1F8-01	Primary Tumor	0.4663	1.639	0.6413	-1.085	1.366	1.287	0.6295	-1.813	3.109	-1.539	0.8285	7.576	-0.3468	1.458
