sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-OL-A66I-01	TCGA-OL-A66I-01	Primary Tumor	-0.5147	0.4952	0.3054	0.2131	-0.8254	2.765	-0.1826	0.2298	0.9956	-0.2583	-0.04835	9.932	0.715	-1.072
TCGA-AO-A128-01	TCGA-AO-A128-01	Primary Tumor	-0.557	1.235	-0.1042	-0.1825	1.179	0.06189	1.161	0.05428	1.467	0.259	1.294	10.26	-0.2024	-0.009438
TCGA-A2-A0YJ-01	TCGA-A2-A0YJ-01	Primary Tumor	-0.6713	0.5555	-0.7147	0.01365	0.8242	-1.652	0.993	0.05528	2.374	-1.173	1.119	9.768	0.7524	0.5186
TCGA-A2-A3Y0-01	TCGA-A2-A3Y0-01	Primary Tumor	-0.7003	0.3366	0.8227	0.9382	0.5422	-2.044	-0.3224	0.5461	1.995	0.1431	-2.583	10.9	-0.4973	-1.382
TCGA-AC-A5XU-01	TCGA-AC-A5XU-01	Primary Tumor	1.657	0.2976	-0.06504	0.2954	-0.209	0.9555	0.7202	0.1527	2.432	-0.04946	0.1986	10.29	0.2448	-0.411
TCGA-C8-A12Z-01	TCGA-C8-A12Z-01	Primary Tumor	0.8572	0.3208	-0.3194	0.2991	-1.378	6.466	1.164	-0.216	2.175	-0.9803	0.5149	9.105	-1.336	0.4423
TCGA-D8-A1XK-01	TCGA-D8-A1XK-01	Primary Tumor	1.336	0.1476	0.1838	0.6686	1.815	3.804	0.6031	-0.5139	0.07405	0.708	-1.196	9.355	0.5501	-0.6681
TCGA-E2-A15O-01	TCGA-E2-A15O-01	Primary Tumor	2.044	1.54	0.2577	-0.8574	-3.487	0.4865	0.4761	0.2693	1.628	0.1463	-1.198	10.58	0.3712	0.2468
TCGA-BH-A204-01	TCGA-BH-A204-01	Primary Tumor	1.936	2.49	-0.1169	-0.1491	1.007	-1.76	2.043	-0.4112	1.742	-1.706	0.6717	8.031	0.1801	1.449
TCGA-E2-A1LI-01	TCGA-E2-A1LI-01	Primary Tumor	1.843	1.237	0.3157	1.021	0.1328	0.07039	0.8243	-0.01292	1.689	-0.6756	-1.725	9.662	0.2705	-0.5716
TCGA-B6-A0X0-01	TCGA-B6-A0X0-01	Primary Tumor	1.835	0.5139	-0.4867	-0.2014	-2.008	-1.482	0.2303	-0.003818	1.333	0.3296	-0.4739	10.44	-0.1687	0.2397
TCGA-A1-A0SB-01	TCGA-A1-A0SB-01	Primary Tumor	1.819	0.4121	-0.1437	0.1762	-3.238	2.493	1.25	0.1064	3.175	0.7384	0.3807	9.894	1.017	1.145
TCGA-E9-A3QA-01	TCGA-E9-A3QA-01	Primary Tumor	1.816	0.08311	0.3352	0.8662	1.328	0.2823	-0.5783	-0.1712	1.841	0.3226	-1.71	10.4	-0.6104	-1.943
TCGA-A2-A3XU-01	TCGA-A2-A3XU-01	Primary Tumor	1.752	0.398	0.2086	0.7653	-2.466	4.189	-0.5537	0.2051	0.9686	-0.9066	-4.073	11.29	-0.6063	-1.688
TCGA-AR-A0TU-01	TCGA-AR-A0TU-01	Primary Tumor	1.747	-2.901	0.5675	0.6298	1.721	-1.58	-0.0257	-0.4607	0.8382	-1.379	-2.78	9.55	0.2773	-1.662
TCGA-A2-A259-01	TCGA-A2-A259-01	Primary Tumor	1.674	-1.015	0.161	0.7365	0.6834	-0.601	0.689	-0.3025	2.092	-0.1337	0.05105	9.707	0.1538	0.8809
TCGA-JL-A3YX-01	TCGA-JL-A3YX-01	Primary Tumor	1.543	0.9597	0.4845	-0.05635	-3.088	5.354	-0.0866	-0.1775	1.524	0.4428	0.4079	11.01	-0.1912	-0.6599
TCGA-AO-A1KR-01	TCGA-AO-A1KR-01	Primary Tumor	1.531	-0.1856	0.7648	1.357	-0.5744	1.853	-0.8519	-0.3393	0.6015	-0.2592	-1.38	10.09	-1.075	-0.04724
